Event ID,Source,Year of Date Time,Latitude,Longitude,Max. Magnitude
2010071040,NEI,1899,11.143,145.999,6.3
2010070440,NEI,1899,39.697,142.369,6.3
2010070240,NEI,1899,-13.643,166.485,6.3
2010063040,NEI,1899,-3.4555,40.667,6.4
2010062640,NEI,1899,-10.627,161.447,6.7
2010062440,NEI,1899,-5.514,151.161,6.1
2010061840,NEI,1899,44.448,148.689,6.2
2010061740,NEI,1899,-33.168,179.719,6
2010061640,NEI,1899,-2.296333333,136.554,7
2010061240,NEI,1899,7.881,91.936,7.5
2010060940,NEI,1899,-18.597,169.485,6
2010060140,NEI,1899,9.331,-84.206,6
2010053140,NEI,1899,9.04,108.748,6.5
2010052740,NEI,1899,-13.678,166.694,7.2
2010052640,NEI,1899,25.773,129.944,6.5
2010052540,NEI,1899,35.336,-35.924,6.3
2010052440,NEI,1899,-8.087,-71.558,6.5
2010052340,NEI,1899,-13.928,-74.352,6.1
2010051940,NEI,1899,-38.242,-116.063666667,6
2010050940,NEI,1899,3.748,96.018,7.2
2010050640,NEI,1899,-18.058,-70.547,6.2
2010050540,NEI,1899,-4.054,101.096,6.5
2010050340,NEI,1899,-4.2135,33.7485,6.3
2010043040,NEI,1899,60.4755,-177.7635,6.5
2010042640,NEI,1899,22.18,123.623,6.5
2010042440,NEI,1899,-1.912,128.122,6
2010042340,NEI,1899,-37.529,-72.969,6
2010042140,NEI,1899,-15.271,-173.219,6.1
2010041740,NEI,1899,-6.669,147.291,6.2
2010041440,NEI,1899,33.195,96.449,6.1
2010041340,NEI,1899,33.165,96.548,6.9
2010041140,NEI,1899,-10.878,161.116,6.9
2010041140,MDD,1899,36.965,-3.542,6.3
2010041040,NEI,1899,-20.114,-176.223,6
2010040740,NEI,1899,-3.76,141.943,6
2010040641,NEI,1899,2.383,97.048,7.8
2010040541,NEI,1899,-0.183,125.009,6.2
2010040240,NEI,1899,-36.227,-72.878,6
2010033040,NEI,1899,13.667,92.831,6.6
2010032840,GUC,1899,-35.387,-73.385,6
2010032640,NEI,1899,-27.953,-70.821,6.3
2010032540,NEI,1899,13.827,120.071,6
2010032040,NEI,1899,-3.361,152.245,6.6
2010031640,NEI,1899,-36.217,-73.257,6.7
2010031540,NEI,1899,-35.802,-73.158,6.2
2010031440,NEI,1899,18.0265,134.8625,6.5
2010031140,NEI,1899,-34.362,-71.898,7
2010030840,NEI,1899,29.106,92.3645,6.1
2010030740,NEI,1899,-16.236,-115.296,6.3
2010030540,NEI,1899,-25.686,-15.202,6.8
2010030440,NEI,1899,-11.524,36.89225,6.5
2010030340,NEI,1899,-36.61,-73.36,6.1
2010022841,NEI,1899,-34.903,-71.617,6.2
2010022743,NEI,1899,-34.7,-71.827,6
2010022742,SJA,1899,-24.872,-65.602,6.3
2010022742,NEI,1899,-34.888,-72.518,6.2
2010022741,GUC,1899,-33.281,-71.955,6.1
2010022740,NEI,1899,-35.131571429,-72.392,8.8
2010022640,NEI,1899,25.93,128.425,7
2010022240,NEI,1899,-23.626,-176.036,6
2010021840,NEI,1899,42.587,130.703,6.9
2010021540,NEI,1899,-7.217,128.723,6.2
2010021340,NEI,1899,-21.902,-174.767,6.1
2010020940,NEI,1899,-15.053,-173.492,6.1
2010020740,NEI,1899,23.488,123.615,6.3
2010020640,NEI,1899,46.836,152.731,6
2010020540,NEI,1899,-47.911,99.593,6.2
2010020140,NEI,1899,-6.112,154.463,6.2
2010011740,NEI,1899,-57.664,-65.879,6.3
2010011240,NEI,1899,18.415,-72.6775,7
2010010940,NEI,1899,-9.131,157.626,6.2
2010010540,NEI,1899,-25.414,100.249333333,6.8
2010010340,NEI,1899,-8.7545,157.4205,7.1
2010010240,NEI,1899,12.424,141.949,6.1
2009123140,NEI,1899,-59.401,-150.975,6
2009122640,NEI,1899,-5.53,131.205,6.1
2009122440,NEI,1899,42.245,134.719,6.3
2009122340,NEI,1899,-1.434,99.393,6
2009121940,NEI,1899,6.844,77.7115,6.4
2009121440,NEI,1899,-5.958,154.444,6
2009121040,NEI,1899,53.417,152.756,6.3
2009120940,NEI,1899,-6.677666667,81.933666667,6.4
2009120340,NEI,1899,-56.476,-122.321,6
2009112840,NEI,1899,-11.431,22.718333333,6.1
2009112440,NEI,1899,-20.708,-174.035,6.8
2009112240,NEI,1899,-24.6815,0.521000000,6.4
2009111740,NEI,1899,52.123,-131.395,6.6
2009111440,NEI,1899,-22.965,-66.641,6.2
2009111340,NEI,1899,-19.394,-70.321,6.5
2009111040,NEI,1899,8.082,91.899,6
2009110940,NEI,1899,-17.239,178.331,7.3
2009110840,NEI,1899,-8.207,118.631,6.6
2009110540,NEI,1899,-52.292,160.703,6
2009110240,NEI,1899,-24.121,-175.173,6.2
2009103040,NEI,1899,29.218,129.782,6.8
2009102940,NEI,1899,36.391,70.722,6.2
2009102740,NEI,1899,-59.955,-65.163,6
2009102540,NEI,1899,-23.091,-179.205,6
2009102440,NEI,1899,-6.133,130.385,6.9
2009102340,NEI,1899,-12.196,166.047,6
2009102240,NEI,1899,21.623,-5.8145,6.2
2009101940,NEI,1899,-15.36,-172.264,6
2009101640,NEI,1899,-6.534,105.223,6.1
2009101540,NEI,1899,0.107,17.858,6
2009101440,NEI,1899,-14.91,-174.823,6.3
2009101340,NEI,1899,36.096,-68.627666667,6.5
2009101240,NEI,1899,-14.7565,116.593,6.2
2009101140,NEI,1899,-22,170.248,6
2009101040,NEI,1899,47.851,152.455,6
2009100841,NEI,1899,-12.912,166.314,6
2009100840,NEI,1899,-12.266,166.072666667,6.8
2009100740,NEI,1899,-9.3854,157.5692,7.8
2009100440,NEI,1899,6.74,123.378,6.6
2009100340,NEI,1899,23.63,121.452,6.1
2009100240,NEI,1899,-16.676,0.517000000,6.1
2009100140,NEI,1899,-2.482,101.524,6.6
2009093040,NEI,1899,-0.72,99.867,7.6
2009092941,NEI,1899,-15.832,-172.551,6
2009092940,NEI,1899,-15.422,-172.627,8.1
2009092440,NEI,1899,18.829,-107.339,6.4
2009092340,NEI,1899,-52.963,159.911,6
2009092140,NEI,1899,27.332,91.437,6.1
2009091740,NEI,1899,-29.144,-112.267,6.2
2009091240,NEI,1899,10.709,-67.927,6.4
