Id,Name,Type,Latitude Deg,Longitude Deg
2372,Al Mansurah Airbase,medium_airport,30.9676,31.4342
42471,Birma Air Base,medium_airport,30.836599,30.936001
3184,Cairo West Air Base,medium_airport,30.107943,30.915222
2383,Ismailia Air Base,medium_airport,30.597951,32.235689
2375,Abu Suwayr Air Base,medium_airport,30.572700500,32.095298767
3197,Saint Catherine International Airport,medium_airport,28.684601,34.062681
2382,Quesna Airport,medium_airport,30.579,31.1292
3196,Port Said International Airport,medium_airport,31.279285,32.240582
42469,Bilbeis 2 Airfield,medium_airport,30.420600891,31.678899765
2377,Bilbeis Air Base,medium_airport,30.394899,31.6014
2376,Jafjafa Well Airfield,medium_airport,30.420182,33.163594
300239,Harar Meda Airport,medium_airport,8.7163,39.0059
2960,Okondja Airport,medium_airport,-0.665214002,13.673100471
2961,Lambarene Airport,medium_airport,-0.704388976,10.245699883
2964,Omboue Hospital Airport,medium_airport,-1.57473,9.26269
2962,Bitam Airport,medium_airport,2.075639963,11.493200302
3216,Moi Air Base,medium_airport,-1.277269959,36.862300873
44467,Laikipia Air Base,medium_airport,0.032933,37.026901
3211,Lodwar Airport,medium_airport,3.121969938,35.608699799
3209,Kitale Airport,medium_airport,0.971988976,34.958599091
4594,Bombah Airport,medium_airport,32.4529,23.118601
4582,Matan al-Sarra Air Base,medium_airport,21.687700272,21.830900192
4602,Okba Ibn Nafa Air Base,medium_airport,32.473400116,11.897899628
30688,Brak Airport,medium_airport,27.653,14.272
3228,Marsa al Brega Airport,medium_airport,30.378099,19.576401
300605,Bouarfa Airport,medium_airport,32.514305556,-1.983055556
3116,Kenitra Air Base,medium_airport,34.298901,-6.59588
3106,Bassatine Airport,medium_airport,33.879100800,-5.515120029
356161,Mahbes Airbase,medium_airport,27.726982,-9.237865
2915,Andapa Airport,medium_airport,-14.651700020,49.620601654
3137,Atar International Airport,medium_airport,20.506799698,-13.043199539
3016,Karonga Airport,medium_airport,-9.953570366,33.893001556
30603,Mangochi Airport,medium_airport,-14.482999802,35.266998291
30602,Dwangwa Airport,medium_airport,-12.517527,34.131877
27300,Bazaruto Island Airport,medium_airport,-21.5411,35.4729
27302,Indigo Bay Lodge Airport,medium_airport,-21.708,35.452801
2977,MocÃ­mboa da Praia Airport,medium_airport,-11.361800194,40.354900360
2976,Mueda Airport,medium_airport,-11.672900200,39.563098907
3024,Arandis Airport,medium_airport,-22.461875,14.979322
3030,Mariental Airport,medium_airport,-24.605400085,17.925399780
3028,Keetmanshoop Airport,medium_airport,-26.539800644,18.111400604
3026,Grootfontein Airport,medium_airport,-19.602199554,18.122699738
3036,Tsumeb Airport,medium_airport,-19.261899948,17.732500076
2124,Maradi Airport,medium_airport,13.502499580,7.126749992
2126,Tahoua Airport,medium_airport,14.8757,5.26536
300781,Asaba International Airport,medium_airport,6.204167,6.665278
2123,Zaria Airport,medium_airport,11.1302,7.68581
2119,Minna Airport,medium_airport,9.652170181,6.462259769
2109,Gusau Airport,medium_airport,12.1717,6.69611
3236,Gisenyi Airport,medium_airport,-1.677199960,29.258899689
300673,Merowe Airport,medium_airport,18.443333,31.843333
41135,Wadi Seidna Air Base,medium_airport,15.815213,32.51401
347295,Sabera Geneina Airport,medium_airport,13.4774,22.53722
3125,LÃ©opold SÃ©dar Senghor International Airport,medium_airport,14.7397,-17.4902
3124,Kaolack Airport,medium_airport,14.146900177,-16.051300049
3127,Bakel Airport,medium_airport,14.847299576,-12.468299866
3128,KÃ©dougou Airport,medium_airport,12.572299957,-12.220299721
3173,Kismayo Airport,medium_airport,-0.377353,42.459202
300862,Paloich Airport,medium_airport,10.529167,32.500556
2872,Matsapha Airport,medium_airport,-26.528999,31.307501
2999,Faya Largeau Airport,medium_airport,17.917101,19.111099
507351,Ouadi Doum Air Base,medium_airport,18.52793,20.188644
2143,Niamtougou International Airport,medium_airport,9.767330170,1.091249943
2134,Bizerte Sidi Ahmed Air Base,medium_airport,37.242356,9.787016
2140,El Borma Airport,medium_airport,31.704299927,9.254619598
2135,Remada Air Base,medium_airport,32.306198120,10.382100105
3253,Iringa Airport,medium_airport,-7.668630123,35.752101898
3258,Pemba Airport,medium_airport,-5.25726,39.811401
3255,Lake Manyara Airport,medium_airport,-3.376310110,35.818298340
2824,Port St Johns Airport,medium_airport,-31.60612,29.52175
2771,Bisho Airport,medium_airport,-32.897098541,27.279100418
2830,Queenstown Airport,medium_airport,-31.920200348,26.882200241
2781,Ficksburg Sentraoes Airport,medium_airport,-28.823099136,27.908899307
2789,Harrismith Airport,medium_airport,-28.235099792,29.106199265
2853,Vereeniging Airport,medium_airport,-26.566400528,27.960800171
2856,Waterkloof Air Force Base,medium_airport,-25.829999924,28.222499847
2782,Grand Central Airport,medium_airport,-25.986299515,28.140100479
2784,Rand Airport,medium_airport,-26.2425,28.151199
2854,Wonderboom Airport,medium_airport,-25.6539,28.224199
2841,Skukuza Airport,medium_airport,-24.960899353,31.588699341
2813,Riverside Airport,medium_airport,-25.430000305,31.576700211
2835,Secunda Airport,medium_airport,-26.52409935,29.170099258
2780,Ermelo Airport,medium_airport,-26.495599747,29.979799271
46533,Barberton Airport,medium_airport,-25.717147,30.974974
2767,Alexander Bay Airport,medium_airport,-28.575001,16.5333
2799,Kleinsee Airport,medium_airport,-29.688400269,17.093999863
2768,Aggeneys Airport,medium_airport,-29.281799,18.8139
2834,Springbok Airport,medium_airport,-29.689300537,17.939599991
2839,Sishen Airport,medium_airport,-27.648599625,22.999300003
2798,Johan Pienaar Airport,medium_airport,-27.456699371,23.411399841
2801,Lime Acres Finsch Mine Airport,medium_airport,-28.360099792,23.439100266
2850,Virginia Airport,medium_airport,-29.770599365,31.058399200
2815,Mkuze Airport,medium_airport,-27.626100540,32.044300079
2846,Prince Mangosuthu Buthelezi Airport,medium_airport,-28.320600510,31.416500092
2806,Ladysmith Airport,medium_airport,-28.581699371,29.749700546
2816,Newcastle Airport,medium_airport,-27.770599365,29.976900101
2845,Tzaneen Airport,medium_airport,-23.824399948,30.329299927
2832,Rustenburg Airport,medium_airport,-25.644300461,27.271099091
2849,Vryburg Airport,medium_airport,-26.982400894,24.728799820
2814,Morningside Farm Airport,medium_airport,-25.704500198,26.909000397
2793,P C Pelser Airport,medium_airport,-26.871099472,26.718000412
2828,Potchefstroom Airport,medium_airport,-26.670999527,27.081899643
2836,Saldanha/Vredenburg Airport,medium_airport,-32.9641,17.969299
2805,Langebaanweg Airport,medium_airport,-32.968898773,18.160299301
2852,Vredendal Airport,medium_airport,-31.641000748,18.544799805
2833,Robertson Airport,medium_airport,-33.812198639,19.902799606
